,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,100.0,real data,264044.174714637,interpolated/extrapolated data,30.465000000000003,real data,100.0,real data,264044.174714637,interpolated/extrapolated data,30.465000000000003,real data
1,2001,,interpolated/extrapolated data,100.0,real data,224848.68712970987,interpolated/extrapolated data,30.495000000000008,real data,100.0,real data,224848.68712970987,interpolated/extrapolated data,30.495000000000008,real data
2,2002,,interpolated/extrapolated data,100.0,real data,189731.809897552,interpolated/extrapolated data,30.557,real data,100.0,real data,189731.809897552,interpolated/extrapolated data,30.557,real data
3,2003,,interpolated/extrapolated data,100.0,real data,158693.5430181641,interpolated/extrapolated data,30.619,real data,100.0,real data,158693.5430181641,interpolated/extrapolated data,30.619,real data
4,2004,,interpolated/extrapolated data,100.0,real data,131733.88649154577,interpolated/extrapolated data,30.681,real data,100.0,real data,131733.88649154577,interpolated/extrapolated data,30.681,real data
5,2005,,interpolated/extrapolated data,100.0,real data,108852.84031769716,interpolated/extrapolated data,30.742999999999988,real data,100.0,real data,108852.84031769716,interpolated/extrapolated data,30.742999999999988,real data
6,2006,,interpolated/extrapolated data,100.0,real data,90050.40449661826,interpolated/extrapolated data,30.805000000000003,real data,100.0,real data,90050.40449661826,interpolated/extrapolated data,30.805000000000003,real data
7,2007,,interpolated/extrapolated data,100.0,real data,75326.57902830909,interpolated/extrapolated data,30.867,real data,100.0,real data,75326.57902830909,interpolated/extrapolated data,30.867,real data
8,2008,,interpolated/extrapolated data,100.0,real data,64681.36391276968,interpolated/extrapolated data,30.92900000000001,real data,100.0,real data,64681.36391276968,interpolated/extrapolated data,30.92900000000001,real data
9,2009,,interpolated/extrapolated data,100.0,real data,58114.75915,real data,30.992000000000004,real data,100.0,real data,58114.75915,real data,30.992000000000004,real data
10,2010,,interpolated/extrapolated data,100.0,real data,55626.76474,real data,31.053999999999995,real data,100.0,real data,55626.76474,real data,31.053999999999995,real data
11,2011,,interpolated/extrapolated data,100.0,real data,55870.42445,real data,31.09100000000001,real data,100.0,real data,55870.42445,real data,31.09100000000001,real data
12,2012,,interpolated/extrapolated data,100.0,real data,52308.32112,real data,31.059,real data,100.0,real data,52308.32112,real data,31.059,real data
13,2013,,interpolated/extrapolated data,100.0,real data,52238.50593,real data,31.027,real data,100.0,real data,52238.50593,real data,31.027,real data
14,2014,,interpolated/extrapolated data,100.0,real data,53194.34440999999,real data,30.995000000000005,real data,100.0,real data,53194.34440999999,real data,30.995000000000005,real data
15,2015,,interpolated/extrapolated data,100.0,real data,53155.67989,real data,30.962000000000007,real data,100.0,real data,53155.67989,real data,30.962000000000007,real data
16,2016,,interpolated/extrapolated data,100.0,real data,53659.63674,real data,30.930000000000003,real data,100.0,real data,53659.63674,real data,30.930000000000003,real data
17,2017,,interpolated/extrapolated data,100.0,real data,54484.03623,real data,30.914,real data,100.0,real data,54484.03623,real data,30.914,real data
18,2018,,interpolated/extrapolated data,100.0,real data,54885.05083000001,real data,30.914,real data,100.0,real data,54885.05083000001,real data,30.914,real data
19,2019,,interpolated/extrapolated data,100.0,real data,55516.35652000001,real data,30.931,real data,100.0,real data,55516.35652000001,real data,30.931,real data
20,2020,,interpolated/extrapolated data,100.0,real data,50395.855,real data,30.96300000000001,real data,100.0,real data,50395.855,real data,30.96300000000001,real data
21,2021,,interpolated/extrapolated data,100.0,real data,55235.46068999999,real data,31.012000000000008,real data,100.0,real data,55235.46068999999,real data,31.012000000000008,real data
22,2022,,interpolated/extrapolated data,100.0,real data,58021.17925000001,real data,31.077000000000005,real data,100.0,real data,58021.17925000001,real data,31.077000000000005,real data
23,2023,,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,60005.8546,real data,31.159,real data,99.99999999999996,interpolated/extrapolated data,60005.8546,real data,31.159,real data
